invoiceno,invoicedate,customerid,country,amount
536522,01.12.2010,15012,United Kingdom,189
536523,01.12.2010,12868,United Kingdom,205
536524,01.12.2010,17572,United Kingdom,72
536525,01.12.2010,14078,United Kingdom,136
536526,01.12.2010,14001,United Kingdom,302
536527,01.12.2010,12662,Germany,262
536528,01.12.2010,15525,United Kingdom,315
536529,01.12.2010,14237,United Kingdom,162
536530,01.12.2010,17905,United Kingdom,203
536531,01.12.2010,15485,United Kingdom,947
536532,01.12.2010,12433,Norway,1917
536533,01.12.2010,16955,United Kingdom,157
536534,01.12.2010,15350,United Kingdom,115
536535,01.12.2010,15605,United Kingdom,196
536536,01.12.2010,18144,United Kingdom,165
536537,01.12.2010,15922,United Kingdom,369
536538,01.12.2010,14594,United Kingdom,253
536539,01.12.2010,15165,United Kingdom,490
536540,01.12.2010,14911,EIRE,541
536541,01.12.2010,14911,EIRE,15
536542,01.12.2010,16456,United Kingdom,784
536544,01.12.2010,777777,United Kingdom,5533
536545,01.12.2010,777777,United Kingdom,0
536546,01.12.2010,777777,United Kingdom,0
536547,01.12.2010,777777,United Kingdom,0
536549,01.12.2010,777777,United Kingdom,0
536550,01.12.2010,777777,United Kingdom,0
536551,01.12.2010,17346,United Kingdom,146
536552,01.12.2010,777777,United Kingdom,0
536553,01.12.2010,777777,United Kingdom,0
536554,01.12.2010,777777,United Kingdom,0
536555,01.12.2010,777777,United Kingdom,3
536556,01.12.2010,17643,United Kingdom,102
536557,01.12.2010,17841,United Kingdom,541
536558,01.12.2010,777777,United Kingdom,100
536559,01.12.2010,17873,United Kingdom,215
536560,01.12.2010,13093,United Kingdom,801
536561,01.12.2010,12921,United Kingdom,323
536562,01.12.2010,13468,United Kingdom,311
536563,01.12.2010,17760,United Kingdom,172
536564,01.12.2010,13468,United Kingdom,52
536565,01.12.2010,777777,United Kingdom,7
536566,01.12.2010,16928,United Kingdom,116
536567,01.12.2010,16048,United Kingdom,249
536568,01.12.2010,16048,United Kingdom,5
536569,01.12.2010,16274,United Kingdom,360
536570,01.12.2010,14496,United Kingdom,304
536571,01.12.2010,14696,United Kingdom,296
536572,01.12.2010,16539,United Kingdom,440
536573,01.12.2010,17025,United Kingdom,142
536574,01.12.2010,17025,United Kingdom,18
536575,01.12.2010,13777,United Kingdom,1554
536576,01.12.2010,13777,United Kingdom,2559
536577,01.12.2010,13777,United Kingdom,497
536578,01.12.2010,17690,United Kingdom,279
536579,01.12.2010,13777,United Kingdom,316
536580,01.12.2010,17690,United Kingdom,98
536581,01.12.2010,13777,United Kingdom,330
536582,01.12.2010,12947,United Kingdom,305
536583,01.12.2010,13777,United Kingdom,198
536584,01.12.2010,13777,United Kingdom,1133
536585,01.12.2010,17460,United Kingdom,20
536586,01.12.2010,18229,United Kingdom,345
536587,01.12.2010,14142,United Kingdom,311
536588,01.12.2010,17069,United Kingdom,275
536589,01.12.2010,777777,United Kingdom,0
536590,01.12.2010,13065,United Kingdom,207
536591,01.12.2010,14606,United Kingdom,197
536592,01.12.2010,777777,United Kingdom,6930
536593,01.12.2010,16835,United Kingdom,82
536594,01.12.2010,15235,United Kingdom,80
536595,01.12.2010,13576,United Kingdom,348
536596,01.12.2010,777777,United Kingdom,38
536597,01.12.2010,18011,United Kingdom,102
536598,02.12.2010,13090,United Kingdom,161
536599,02.12.2010,15694,United Kingdom,307
536600,02.12.2010,17850,United Kingdom,251
536601,02.12.2010,17850,United Kingdom,22
536602,02.12.2010,17850,United Kingdom,161
536603,02.12.2010,17850,United Kingdom,22
536604,02.12.2010,14741,United Kingdom,184
536605,02.12.2010,13715,United Kingdom,273
536607,02.12.2010,17732,United Kingdom,308
536608,02.12.2010,12855,United Kingdom,38
536609,02.12.2010,17850,United Kingdom,242
536610,02.12.2010,17850,United Kingdom,22
536611,02.12.2010,15752,United Kingdom,259
536612,02.12.2010,17850,United Kingdom,204
536613,02.12.2010,17855,United Kingdom,208
536614,02.12.2010,17850,United Kingdom,22
536615,02.12.2010,14047,United Kingdom,288
536616,02.12.2010,17925,United Kingdom,244
536617,02.12.2010,13941,United Kingdom,1095
536618,02.12.2010,17017,United Kingdom,782
536619,02.12.2010,17017,United Kingdom,97
536620,02.12.2010,14135,United Kingdom,484
536621,02.12.2010,13108,United Kingdom,350
536623,02.12.2010,15601,United Kingdom,769
536624,02.12.2010,13418,United Kingdom,611
536626,02.12.2010,13418,United Kingdom,13
536627,02.12.2010,15658,United Kingdom,306
536628,02.12.2010,17850,United Kingdom,228
536629,02.12.2010,17850,United Kingdom,22
536630,02.12.2010,17850,United Kingdom,242
536631,02.12.2010,17850,United Kingdom,22
536632,02.12.2010,14388,United Kingdom,313
536633,02.12.2010,14901,United Kingdom,204
536634,02.12.2010,18041,United Kingdom,194
536635,02.12.2010,15955,United Kingdom,573
536636,02.12.2010,15070,United Kingdom,106
536637,02.12.2010,18041,United Kingdom,236
536638,02.12.2010,16244,United Kingdom,1056
536639,02.12.2010,15111,United Kingdom,288
536640,02.12.2010,777777,United Kingdom,45
536641,02.12.2010,12748,United Kingdom,4
536643,02.12.2010,14390,United Kingdom,224
536663,02.12.2010,16546,United Kingdom,298
536667,02.12.2010,15260,United Kingdom,360
536670,02.12.2010,15260,United Kingdom,58
536671,02.12.2010,13305,United Kingdom,136
536672,02.12.2010,14491,United Kingdom,128
536673,02.12.2010,14060,United Kingdom,339
536674,02.12.2010,15923,United Kingdom,130
536676,02.12.2010,16752,United Kingdom,208
536681,02.12.2010,17287,United Kingdom,114
536685,02.12.2010,17850,United Kingdom,381
536688,02.12.2010,17850,United Kingdom,22
536690,02.12.2010,17850,United Kingdom,330
536693,02.12.2010,17850,United Kingdom,22
536698,02.12.2010,15363,United Kingdom,326
536707,02.12.2010,12915,United Kingdom,200
536732,02.12.2010,15544,United Kingdom,355
536733,02.12.2010,15738,United Kingdom,330
536735,02.12.2010,17381,United Kingdom,211
536736,02.12.2010,17381,United Kingdom,826
536738,02.12.2010,15827,United Kingdom,99
536739,02.12.2010,14180,United Kingdom,203
536740,02.12.2010,15827,United Kingdom,92
536741,02.12.2010,13117,United Kingdom,205
536742,02.12.2010,16916,United Kingdom,197
536743,02.12.2010,17964,United Kingdom,262
536744,02.12.2010,14466,United Kingdom,381
536745,02.12.2010,17235,United Kingdom,342
536746,02.12.2010,16510,United Kingdom,248
536747,02.12.2010,17802,United Kingdom,103
536748,02.12.2010,15107,United Kingdom,116
536749,02.12.2010,17976,United Kingdom,353
536750,02.12.2010,17850,United Kingdom,435
536751,02.12.2010,17850,United Kingdom,22
536752,02.12.2010,17850,United Kingdom,390
536753,02.12.2010,17850,United Kingdom,22
536754,02.12.2010,14449,United Kingdom,209
536755,02.12.2010,777777,United Kingdom,55
536756,02.12.2010,777777,United Kingdom,67
536759,02.12.2010,16781,United Kingdom,312
536761,02.12.2010,13491,United Kingdom,100
536762,02.12.2010,16186,United Kingdom,307
536763,02.12.2010,17685,United Kingdom,451
536764,02.12.2010,777777,United Kingdom,0
536765,02.12.2010,777777,United Kingdom,0
536769,02.12.2010,17581,United Kingdom,664
536771,02.12.2010,17581,United Kingdom,119
536777,02.12.2010,15732,United Kingdom,138
536778,02.12.2010,13138,United Kingdom,194
536779,02.12.2010,15823,United Kingdom,15
536780,02.12.2010,777777,United Kingdom,13
536781,02.12.2010,17460,United Kingdom,50
536782,02.12.2010,17567,United Kingdom,519
536783,02.12.2010,15061,United Kingdom,4077
536784,02.12.2010,15061,United Kingdom,2170
536785,02.12.2010,15061,United Kingdom,2731
536786,02.12.2010,15061,United Kingdom,324
536787,02.12.2010,17850,United Kingdom,190
536788,02.12.2010,15061,United Kingdom,75
536789,02.12.2010,17850,United Kingdom,22
536790,02.12.2010,17850,United Kingdom,534
536791,02.12.2010,17850,United Kingdom,44
536792,02.12.2010,15061,United Kingdom,30
536793,02.12.2010,16203,United Kingdom,171
536794,02.12.2010,13767,United Kingdom,322
536795,02.12.2010,15640,United Kingdom,333
536796,02.12.2010,15574,United Kingdom,377
536797,02.12.2010,16770,United Kingdom,130
536798,02.12.2010,17838,United Kingdom,718
536799,02.12.2010,17228,United Kingdom,185
536800,02.12.2010,14829,United Kingdom,237
536801,02.12.2010,777777,United Kingdom,252
536802,02.12.2010,17412,United Kingdom,197
536803,02.12.2010,14911,EIRE,22
536804,02.12.2010,14031,United Kingdom,1715
536805,02.12.2010,14775,United Kingdom,406
536806,02.12.2010,12971,United Kingdom,46
536808,02.12.2010,17659,United Kingdom,249
536809,02.12.2010,15299,United Kingdom,1003
536810,02.12.2010,15299,United Kingdom,304
536811,02.12.2010,15299,United Kingdom,528
536813,02.12.2010,15646,United Kingdom,192
536819,02.12.2010,13402,United Kingdom,307
536821,02.12.2010,17757,United Kingdom,146
536823,02.12.2010,13011,United Kingdom,51
536824,02.12.2010,13798,United Kingdom,408
536830,02.12.2010,16754,United Kingdom,2002
536831,02.12.2010,16029,United Kingdom,569
536832,02.12.2010,16634,United Kingdom,166
536833,02.12.2010,18239,United Kingdom,440
536834,02.12.2010,14576,United Kingdom,35
536835,02.12.2010,13145,United Kingdom,295
536836,02.12.2010,18168,United Kingdom,263
536837,02.12.2010,14395,United Kingdom,308
536838,02.12.2010,14865,United Kingdom,37
536839,02.12.2010,15093,United Kingdom,623
536840,02.12.2010,12738,Germany,154
536841,02.12.2010,16150,United Kingdom,394
536842,02.12.2010,17552,United Kingdom,265
536843,02.12.2010,17552,United Kingdom,35
536844,02.12.2010,14236,United Kingdom,189
536845,02.12.2010,17961,United Kingdom,130
536846,02.12.2010,14573,United Kingdom,412
536847,03.12.2010,17135,United Kingdom,216
536848,03.12.2010,13408,United Kingdom,534
536849,03.12.2010,17396,United Kingdom,397
536851,03.12.2010,12967,United Kingdom,1369
536852,03.12.2010,12686,France,88
536856,03.12.2010,13370,United Kingdom,759
536857,03.12.2010,16883,United Kingdom,129
536858,03.12.2010,13520,Switzerland,303
536859,03.12.2010,12841,United Kingdom,294
536860,03.12.2010,16905,United Kingdom,253
536861,03.12.2010,12427,Germany,304
536862,03.12.2010,777777,United Kingdom,1330
536863,03.12.2010,17967,United Kingdom,124
536864,03.12.2010,777777,United Kingdom,632
536865,03.12.2010,777777,United Kingdom,2392
536866,03.12.2010,777777,United Kingdom,8
536874,03.12.2010,16891,United Kingdom,227
536876,03.12.2010,777777,United Kingdom,7284
536883,03.12.2010,777777,United Kingdom,5
536884,03.12.2010,14589,United Kingdom,40
536885,03.12.2010,777777,EIRE,550
536890,03.12.2010,14156,EIRE,322
536920,03.12.2010,777777,United Kingdom,68
536938,03.12.2010,14680,United Kingdom,1681
536941,03.12.2010,777777,United Kingdom,0
536942,03.12.2010,777777,United Kingdom,0
536943,03.12.2010,17884,United Kingdom,188
536944,03.12.2010,12557,Spain,621
536945,03.12.2010,14083,United Kingdom,314
536946,03.12.2010,13013,United Kingdom,838
536947,03.12.2010,13013,United Kingdom,685
536954,03.12.2010,17809,United Kingdom,425
536956,03.12.2010,14210,United Kingdom,307
536957,03.12.2010,17809,United Kingdom,792
536960,03.12.2010,16477,United Kingdom,227
536967,03.12.2010,12600,Germany,76
536968,03.12.2010,16013,United Kingdom,534
536969,03.12.2010,16013,United Kingdom,528
536970,03.12.2010,17949,United Kingdom,1314
536971,03.12.2010,12779,Poland,248
536972,03.12.2010,16926,United Kingdom,231
536973,03.12.2010,17787,United Kingdom,741
536974,03.12.2010,12682,France,336
536975,03.12.2010,14911,EIRE,1705
536976,03.12.2010,14723,United Kingdom,151
536977,03.12.2010,17954,United Kingdom,109
536980,03.12.2010,17819,United Kingdom,591
536981,03.12.2010,14723,United Kingdom,103
536982,03.12.2010,777777,United Kingdom,10659
536983,03.12.2010,12712,Germany,175
536984,03.12.2010,17841,United Kingdom,339
536985,03.12.2010,15373,United Kingdom,335
536986,03.12.2010,16140,United Kingdom,124
536987,03.12.2010,17198,United Kingdom,271
536988,03.12.2010,17238,United Kingdom,252
536989,03.12.2010,17238,United Kingdom,116
536990,03.12.2010,12793,Portugal,131
536991,03.12.2010,777777,United Kingdom,26
536992,03.12.2010,15769,United Kingdom,92
536993,03.12.2010,14396,United Kingdom,115
536994,03.12.2010,14898,United Kingdom,99
536995,03.12.2010,777777,United Kingdom,0
536996,03.12.2010,777777,United Kingdom,0
536997,03.12.2010,777777,United Kingdom,0
536998,03.12.2010,777777,United Kingdom,0
536999,03.12.2010,777777,United Kingdom,0
537000,03.12.2010,777777,United Kingdom,0
537001,03.12.2010,777777,United Kingdom,0
537002,03.12.2010,777777,United Kingdom,0
537003,03.12.2010,777777,United Kingdom,0
537004,03.12.2010,777777,United Kingdom,0
537005,03.12.2010,777777,United Kingdom,0
537006,03.12.2010,777777,United Kingdom,0
537007,03.12.2010,777777,United Kingdom,0
537008,03.12.2010,777777,United Kingdom,0
537009,03.12.2010,777777,United Kingdom,0
537010,03.12.2010,777777,United Kingdom,0
537011,03.12.2010,777777,United Kingdom,0
537012,03.12.2010,777777,United Kingdom,0
537013,03.12.2010,777777,United Kingdom,0
537014,03.12.2010,777777,United Kingdom,0
537015,03.12.2010,777777,United Kingdom,0
537016,03.12.2010,777777,United Kingdom,0
537017,03.12.2010,777777,United Kingdom,0
537018,03.12.2010,777777,United Kingdom,0
537019,03.12.2010,777777,United Kingdom,0
537020,03.12.2010,777777,United Kingdom,0
537021,03.12.2010,777777,United Kingdom,0
537022,03.12.2010,12725,Italy,431
537023,03.12.2010,16725,United Kingdom,122
537025,03.12.2010,777777,United Kingdom,78
537026,03.12.2010,12395,Belgium,344
537027,03.12.2010,777777,United Kingdom,0
537028,03.12.2010,777777,United Kingdom,0
537029,03.12.2010,777777,United Kingdom,0
537030,03.12.2010,16455,United Kingdom,245
537031,03.12.2010,16455,United Kingdom,135
537032,03.12.2010,777777,United Kingdom,0
537034,03.12.2010,13081,United Kingdom,2354
537035,03.12.2010,13081,United Kingdom,12
537036,03.12.2010,15545,United Kingdom,138
537037,05.12.2010,17243,United Kingdom,257
537038,05.12.2010,15465,United Kingdom,537
537040,05.12.2010,13089,United Kingdom,735
537041,05.12.2010,16033,United Kingdom,155
537042,05.12.2010,13838,United Kingdom,237
537044,05.12.2010,18055,United Kingdom,436
537045,05.12.2010,15038,United Kingdom,126
537046,05.12.2010,18109,United Kingdom,279
537047,05.12.2010,13069,United Kingdom,320
537048,05.12.2010,13069,United Kingdom,6
537049,05.12.2010,16241,United Kingdom,278
537050,05.12.2010,14800,United Kingdom,550
537051,05.12.2010,15708,United Kingdom,353
537052,05.12.2010,16839,United Kingdom,551
537053,05.12.2010,16168,United Kingdom,276
537054,05.12.2010,16931,United Kingdom,152
537055,05.12.2010,16814,United Kingdom,276
537057,05.12.2010,15351,United Kingdom,275
537058,05.12.2010,13269,United Kingdom,352
537059,05.12.2010,14813,United Kingdom,126
537065,05.12.2010,12567,France,1526
537067,05.12.2010,14813,United Kingdom,27
537077,05.12.2010,17062,United Kingdom,181
537081,05.12.2010,15332,Lithuania,1145
537086,05.12.2010,15332,Lithuania,438
537090,05.12.2010,15332,Lithuania,15
537111,05.12.2010,14810,United Kingdom,183
537117,05.12.2010,16353,United Kingdom,204
537126,05.12.2010,18118,United Kingdom,481
537127,05.12.2010,13831,United Kingdom,408
537128,05.12.2010,12841,United Kingdom,212
537129,05.12.2010,13506,United Kingdom,301
537130,05.12.2010,17796,United Kingdom,115
537131,05.12.2010,15716,United Kingdom,551
537133,05.12.2010,18156,United Kingdom,206
537134,05.12.2010,16983,United Kingdom,164
537135,05.12.2010,17059,United Kingdom,725
537136,05.12.2010,12748,United Kingdom,270
537137,05.12.2010,16327,United Kingdom,539
537138,05.12.2010,17211,United Kingdom,273
537139,05.12.2010,17026,United Kingdom,33
537140,05.12.2010,12748,United Kingdom,73
537141,05.12.2010,15570,United Kingdom,514
537142,05.12.2010,12748,United Kingdom,41
537144,05.12.2010,15880,United Kingdom,340
537153,05.12.2010,16718,United Kingdom,622
537154,05.12.2010,15808,United Kingdom,1019
537155,05.12.2010,12748,United Kingdom,74
537156,05.12.2010,17858,United Kingdom,254
537158,05.12.2010,16393,United Kingdom,186
537159,05.12.2010,14527,United Kingdom,293
537160,05.12.2010,14161,United Kingdom,285
537163,05.12.2010,17863,United Kingdom,385
537176,05.12.2010,16411,United Kingdom,132
537179,05.12.2010,13767,United Kingdom,808
537192,05.12.2010,16402,United Kingdom,209
537193,05.12.2010,15023,United Kingdom,458
537194,05.12.2010,17402,United Kingdom,271
537195,05.12.2010,15311,United Kingdom,650
537196,05.12.2010,15426,United Kingdom,411
537197,05.12.2010,12647,Germany,287
537198,05.12.2010,12647,Germany,86
537199,05.12.2010,15894,United Kingdom,159
537200,05.12.2010,15867,United Kingdom,112
537201,05.12.2010,12472,Germany,1626
537202,05.12.2010,14506,United Kingdom,273
537204,05.12.2010,15555,United Kingdom,195
537205,05.12.2010,13034,United Kingdom,167
537206,05.12.2010,15235,United Kingdom,86
537207,05.12.2010,17402,United Kingdom,188
537208,05.12.2010,15889,United Kingdom,293
537209,05.12.2010,14606,United Kingdom,191
537210,05.12.2010,15953,United Kingdom,211
537211,05.12.2010,16143,United Kingdom,356
537212,05.12.2010,12720,Germany,475
537213,05.12.2010,12748,United Kingdom,9
537214,05.12.2010,16422,United Kingdom,1667
537215,05.12.2010,12747,United Kingdom,360
537216,05.12.2010,15502,United Kingdom,570
537217,05.12.2010,15502,United Kingdom,168
537218,05.12.2010,12763,Japan,319
537219,05.12.2010,14081,United Kingdom,425
537220,05.12.2010,777777,United Kingdom,3
537221,05.12.2010,17965,United Kingdom,37
537222,05.12.2010,14404,United Kingdom,131
537223,05.12.2010,13579,United Kingdom,167
537224,05.12.2010,13174,United Kingdom,1422
537225,05.12.2010,12748,United Kingdom,495
537226,06.12.2010,15987,United Kingdom,113
537227,06.12.2010,17677,United Kingdom,922
537228,06.12.2010,17677,United Kingdom,25
537229,06.12.2010,17677,United Kingdom,17
537230,06.12.2010,777777,United Kingdom,3
537231,06.12.2010,13652,United Kingdom,310
537233,06.12.2010,17428,United Kingdom,354
537235,06.12.2010,17381,United Kingdom,2568
537236,06.12.2010,16858,United Kingdom,376
537237,06.12.2010,777777,United Kingdom,7355
537238,06.12.2010,16161,United Kingdom,165
537239,06.12.2010,18219,United Kingdom,213
537240,06.12.2010,777777,United Kingdom,7682
537241,06.12.2010,14293,United Kingdom,363
537242,06.12.2010,14748,United Kingdom,412
537243,06.12.2010,16638,United Kingdom,50
537244,06.12.2010,17674,United Kingdom,300
537245,06.12.2010,14748,United Kingdom,58
537246,06.12.2010,12808,Portugal,130
537247,06.12.2010,13094,United Kingdom,223
537248,06.12.2010,15899,United Kingdom,57
537249,06.12.2010,16955,United Kingdom,33
537250,06.12.2010,12708,Germany,198
537252,06.12.2010,777777,United Kingdom,26
537253,06.12.2010,777777,United Kingdom,356
537254,06.12.2010,15898,United Kingdom,386
537255,06.12.2010,14443,United Kingdom,304
537256,06.12.2010,16210,United Kingdom,2265
537257,06.12.2010,17691,United Kingdom,143
537258,06.12.2010,17227,United Kingdom,143
537262,06.12.2010,15039,United Kingdom,611
537265,06.12.2010,15919,United Kingdom,266
537298,06.12.2010,13497,United Kingdom,154
537301,06.12.2010,15860,United Kingdom,103
537312,06.12.2010,14189,United Kingdom,310
537313,06.12.2010,15304,United Kingdom,124
537332,06.12.2010,14344,United Kingdom,324
537334,06.12.2010,16719,United Kingdom,431
537335,06.12.2010,15048,United Kingdom,99
537346,06.12.2010,15301,United Kingdom,671
537350,06.12.2010,14708,United Kingdom,420
537351,06.12.2010,16898,United Kingdom,112
537354,06.12.2010,12748,United Kingdom,132
537359,06.12.2010,14825,United Kingdom,184
537360,06.12.2010,18113,United Kingdom,76
537361,06.12.2010,777777,United Kingdom,0
537362,06.12.2010,17596,United Kingdom,395
537363,06.12.2010,777777,United Kingdom,0
537364,06.12.2010,777777,United Kingdom,0
537365,06.12.2010,15078,United Kingdom,453
537366,06.12.2010,14085,United Kingdom,310
537367,06.12.2010,15078,United Kingdom,25
537368,06.12.2010,14911,EIRE,379
537369,06.12.2010,17860,United Kingdom,253
537370,06.12.2010,13155,United Kingdom,381
537371,06.12.2010,15028,United Kingdom,186
537372,06.12.2010,16919,United Kingdom,199
537374,06.12.2010,17259,United Kingdom,379
537375,06.12.2010,17019,United Kingdom,360
537376,06.12.2010,16722,United Kingdom,477
537377,06.12.2010,15882,United Kingdom,269
537378,06.12.2010,14911,EIRE,788
537380,06.12.2010,15882,United Kingdom,100
537381,06.12.2010,14667,United Kingdom,512
537382,06.12.2010,16710,United Kingdom,381
537384,06.12.2010,15984,United Kingdom,123
537385,06.12.2010,14487,United Kingdom,125
537386,06.12.2010,14911,EIRE,21
537387,06.12.2010,13468,United Kingdom,222
537388,06.12.2010,17682,United Kingdom,389
537389,06.12.2010,17757,United Kingdom,147
537390,06.12.2010,16658,United Kingdom,124
537391,06.12.2010,16550,United Kingdom,556
537392,06.12.2010,17068,United Kingdom,165
537393,06.12.2010,13089,United Kingdom,2415
537394,06.12.2010,13089,United Kingdom,81
537395,06.12.2010,15356,United Kingdom,150
537396,06.12.2010,17223,United Kingdom,294
537397,06.12.2010,16817,United Kingdom,243
537399,06.12.2010,13030,United Kingdom,425
537400,06.12.2010,17191,United Kingdom,422
537401,06.12.2010,777777,United Kingdom,0
537403,06.12.2010,17191,United Kingdom,29
537404,06.12.2010,17191,United Kingdom,57
537405,06.12.2010,17841,United Kingdom,410
537407,06.12.2010,15502,United Kingdom,193
537409,06.12.2010,15194,United Kingdom,404
537410,06.12.2010,14409,United Kingdom,151
537411,06.12.2010,777777,United Kingdom,10
537412,06.12.2010,14409,United Kingdom,178
537415,06.12.2010,16654,United Kingdom,228
537418,06.12.2010,17884,United Kingdom,138
537419,06.12.2010,13495,United Kingdom,512
537420,06.12.2010,17519,United Kingdom,336
537421,06.12.2010,17218,United Kingdom,296
537422,06.12.2010,17812,United Kingdom,215
537423,06.12.2010,14215,United Kingdom,164
537424,06.12.2010,15602,United Kingdom,93
537425,06.12.2010,777777,United Kingdom,0
537426,06.12.2010,777777,United Kingdom,0
537427,06.12.2010,777777,United Kingdom,0
537428,06.12.2010,17320,United Kingdom,452
537429,06.12.2010,12748,United Kingdom,80
537430,06.12.2010,777777,United Kingdom,0
537432,06.12.2010,777777,United Kingdom,0
537433,06.12.2010,12913,United Kingdom,418
537434,06.12.2010,777777,United Kingdom,8248
537435,06.12.2010,17920,United Kingdom,226
537436,06.12.2010,777777,United Kingdom,0
537437,06.12.2010,777777,United Kingdom,0
537438,06.12.2010,777777,United Kingdom,0
537439,06.12.2010,777777,United Kingdom,0
537440,06.12.2010,17869,United Kingdom,215
537441,06.12.2010,13564,United Kingdom,541
537442,06.12.2010,777777,United Kingdom,5
537446,07.12.2010,18055,United Kingdom,571
537447,07.12.2010,13963,United Kingdom,151
537448,07.12.2010,17450,United Kingdom,40
537449,07.12.2010,777777,United Kingdom,0
537450,07.12.2010,777777,United Kingdom,0
537451,07.12.2010,777777,United Kingdom,0
537452,07.12.2010,777777,United Kingdom,0
537453,07.12.2010,777777,United Kingdom,0
537454,07.12.2010,777777,United Kingdom,0
537455,07.12.2010,777777,United Kingdom,0
537456,07.12.2010,17450,United Kingdom,1989
537457,07.12.2010,17511,United Kingdom,1644
537458,07.12.2010,17091,United Kingdom,294
537459,07.12.2010,17470,United Kingdom,180
537460,07.12.2010,17616,United Kingdom,326
537461,07.12.2010,15649,United Kingdom,510
537462,07.12.2010,17228,United Kingdom,172
537463,07.12.2010,12681,France,1033
537464,07.12.2010,14907,United Kingdom,620
537465,07.12.2010,17735,United Kingdom,454
537466,07.12.2010,777777,United Kingdom,0
537467,07.12.2010,16059,United Kingdom,117
537468,07.12.2010,12567,France,417
537469,07.12.2010,17720,United Kingdom,102
537470,07.12.2010,15018,United Kingdom,112
537471,07.12.2010,14344,United Kingdom,18
537472,07.12.2010,12971,United Kingdom,110
537476,07.12.2010,15838,United Kingdom,958
537484,07.12.2010,14733,United Kingdom,1832
537489,07.12.2010,17017,United Kingdom,510
537509,07.12.2010,13756,United Kingdom,533
537523,07.12.2010,14176,United Kingdom,161
537534,07.12.2010,777777,United Kingdom,925
537538,07.12.2010,15353,United Kingdom,310
537567,07.12.2010,18119,United Kingdom,178
537592,07.12.2010,17491,United Kingdom,328
537593,07.12.2010,14282,United Kingdom,573
537594,07.12.2010,12647,Germany,597
537595,07.12.2010,13569,United Kingdom,116
537598,07.12.2010,14135,United Kingdom,320
537599,07.12.2010,17954,United Kingdom,20
537601,07.12.2010,17287,United Kingdom,109
537603,07.12.2010,14673,United Kingdom,374
537604,07.12.2010,13488,United Kingdom,1386
537605,07.12.2010,16221,United Kingdom,168
537606,07.12.2010,15002,United Kingdom,634
537607,07.12.2010,15965,United Kingdom,156
537608,07.12.2010,15024,United Kingdom,445
537609,07.12.2010,17675,United Kingdom,618
537612,07.12.2010,13769,United Kingdom,323
537614,07.12.2010,16904,United Kingdom,324
537615,07.12.2010,15898,United Kingdom,140
